Name,Rows,Cols,Nonzeros,Bytes,BR,Optimal Value
25FV47,822,1571,11127,70477,,5.5018458883E+03
ADLITTLE,57,97,465,3690,,2.2549496316E+05
AFIRO,28,32,88,794,,-4.6475314286E+02
AGG,489,163,2541,21865,,-3.5991767287E+07
AGG2,517,302,4515,32552,,-2.0239252356E+07
AGG3,517,302,4531,32570,,1.0312115935E+07
BANDM,306,472,2659,19460,,-1.5862801845E+02
BEACONFD,174,262,3476,17475,,3.3592485807E+04
BLEND,75,83,521,3227,,-3.0812149846E+01
BNL1,644,1175,6129,42473,,1.9776292856E+03
BOEING1,351,384,3865,25315,BR,-3.3521356751E+02
BOEING2,167,143,1339,8761,BR,-3.1501872802E+02
BORE3D,234,315,1525,13160,B,1.3730803942E+03
BRANDY,221,249,2150,14028,,1.5185098965E+03
CAPRI,272,353,1786,15267,B,2.6900129138E+03
CZPROB,930,3523,14173,92202,B,2.1851966989E+06
E226,224,282,2767,17749,,-1.8751929066E+01
ETAMACRO,401,688,2489,21915,B,-7.5571521774E+02
FFFFF800,525,854,6235,39637,,5.5567961165E+05
FINNIS,498,614,2714,23847,B,1.7279096547E+05
FIT1D,25,1026,14430,51734,B,-9.1463780924E+03
FIT1P,628,1677,10894,65116,B,9.1463780924E+03
FORPLAN,162,421,4916,25100,BR,-6.6421873953E+02
GANGES,1310,1681,7021,60191,B,-1.0958636356E+05
GFRD-PNC,617,1092,3467,24476,B,6.9022359995E+06
GROW15,301,645,5665,35041,B,-1.0687094129E+08
GROW22,441,946,8318,50789,B,-1.6083433648E+08
GROW7,141,301,2633,17043,B,-4.7787811815E+07
ISRAEL,175,142,2358,12109,,-8.9664482186E+05
KB2,44,41,291,2526,B,-1.7499001299E+03
LOTFI,154,308,1086,6718,,-2.5264706062E+01
MAROS,847,1443,10006,65906,B,-5.8063743701E+04
MODSZK1,688,1620,4158,40908,B,3.2061972906E+02
PILOT.JA,941,1988,14706,97258,B,-6.1131344111E+03
PILOT.WE,723,2789,9218,79972,B,-2.7201027439E+06
PILOT4,411,1000,5145,40936,B,-2.5811392641E+03
PILOTNOV,976,2172,13129,89779,B,-4.4972761882E+03
RECIPE,92,180,752,6210,B,-2.6661600000E+02
SC105,106,103,281,3307,,-5.2202061212E+01
SC205,206,203,552,6380,,-5.2202061212E+01
SC50A,51,48,131,1615,,-6.4575077059E+01
SC50B,51,48,119,1567,,-7.0000000000E+01
SCAGR25,472,500,2029,17406,,-1.4753433061E+07
SCAGR7,130,140,553,4953,,-2.3313892548E+06
SCFXM1,331,457,2612,19078,,1.8416759028E+04
SCFXM2,661,914,5229,37079,,3.6660261565E+04
SCFXM3,991,1371,7846,53828,,5.4901254550E+04
SCORPION,389,358,1708,12186,,1.8781248227E+03
SCRS8,491,1169,4029,36760,,9.0429998619E+02
SCSD1,78,760,3148,17852,,8.6666666743E+00
SCSD6,148,1350,5666,32161,,5.0500000078E+01
SCSD8,398,2750,11334,65888,,9.0499999993E+02
SCTAP1,301,480,2052,14970,,1.4122500000E+03
SCTAP2,1091,1880,8124,57479,,1.7248071429E+03
SCTAP3,1481,2480,10734,78688,,1.4240000000E+03
SEBA,516,1028,4874,38627,BR,1.5711600000E+04
SHARE1B,118,225,1182,8380,,-7.6589318579E+04
SHARE2B,97,79,730,4795,,-4.1573224074E+02
SHIP04L,403,2118,8450,57203,,1.7933245380E+06
SHIP04S,403,1458,5810,41257,,1.7987147004E+06
SHIP08S,779,2387,9501,70093,,1.9200982105E+06
SHIP12S,1152,2763,10941,82527,,1.4892361344E+06
SIERRA,1228,2036,9252,76627,B,1.5394362184E+07
STAIR,357,467,3857,27405,B,-2.5126695119E+02
STANDATA,360,1075,3038,26135,B,1.2576995000E+03
STANDMPS,468,1075,3686,29839,B,1.4060175000E+03
STOCFOR1,118,111,474,4247,,-4.1131976219E+04
STOCFOR2,2158,2031,9492,79845,,-3.9024408538E+04
VTP.BASE,199,203,914,8175,B,1.2983146246E+05
BNL2,2325,3489,16124,127145,,1.8112365404E+03
PILOT87,2031,4883,73804,514192,,3.0171072827E+02
80BAU3B,2263,9799,29063,298952,,9.8723216072E+05
MAROS-R7,3137,9408,151120,4812587,,1.4971851665E+06
